Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,13549,1.0,14244,1.0,12702,1.0,12317,1.0,10962,1.0,11030,1.0,9461,1.0,10342,1.0,9160,1.0,9574,1.0,9822,1.0,11331,1.0,11413,1.0,12896,1.0,12859,1.0,14011,1.0,13510,1.0,14342,1.0,13466,1.0,14432,1.0,12758,1.0,13144,1.0,10635,1.0,9997,1.0,9881,1.0,11235,1.0,11887,1.0,12889,1.0,12397,1.0,13798,1.0,13589,1.0,14247,1.0,14994,1.0,16597,1.0,15862,1.0,17318,1.0,16810,1.0,17070,1.0,15799,1.0,16534,1.0
"  Machinery, Energy & Transportation",,12758,0.941619307697985,13500,0.94776748104465,11961,0.941662730278696,11583,0.940407566777624,10285,0.938241196861887,10318,0.935448776065277,8780,0.928020293837861,9645,0.932604912009283,8463,0.923908296943231,8885,0.928034259452684,9130,0.929545917328446,10639,0.938928602947666,10713,0.938666433014983,12194,0.945564516129032,12150,0.944863519713819,13279,0.947755335093855,12763,0.944707623982235,13630,0.950355598940176,12724,0.944898262290212,13671,0.947269955654102,11974,0.938548361812196,12386,0.942331101643335,9914,0.932204983544899,9310,0.931279383815145,9228,0.93391357150086,10570,0.940809968847352,11191,0.941448641372928,12193,0.946000465513228,11707,0.944341372912802,13097,0.949195535584867,12886,0.948266980646111,13539,0.950305327437355,14278,0.952247565692944,15871,0.956257154907513,15099,0.951897616946161,16545,0.955364360780691,15988,0.951100535395598,16237,0.95120093731693,14960,0.946895373124881,15685,0.948651264061933
    Construction Industries,,4471,0.329987452948557,4420,0.310306093793878,5014,0.394740985671548,4803,0.389948851181294,4075,0.371738733807699,3905,0.35403445149592,4043,0.427333262868619,4426,0.427963643395861,3554,0.387991266375546,3589,0.374869438061416,4091,0.416513948279373,4930,0.435089577265908,4854,0.42530447735039,5258,0.407723325062035,5659,0.440080877206626,6137,0.438012989793733,5654,0.418504811250925,5666,0.395063450006973,5852,0.434575969107382,6446,0.446646341463415,5275,0.413466060511052,4983,0.379108338405356,4312,0.4054536906441,4032,0.40332099629889,4048,0.409675134095739,4484,0.399109924343569,5441,0.457726928577437,5603,0.434711769726123,5261,0.424376865370654,5689,0.41230613132338,6086,0.447862241518876,5991,0.420509580964414,6236,0.415899693210618,6814,0.410556124600831,6704,0.422645315849199,7121,0.411190668668437,6981,0.415288518738846,6488,0.3800820152314,6417,0.406164947148554,6656,0.402564412725293
    Energy & Transportation,,5585,0.412207542992103,6191,0.434639146307217,4915,0.386946937490159,4708,0.382235934074856,4352,0.397007845283707,4544,0.411967361740707,3278,0.346475002642427,3750,0.362599110423516,3534,0.385807860262009,3849,0.402026321286818,3356,0.341681938505396,3941,0.347806901420881,3961,0.34706036975379,4706,0.36491935483871,4276,0.332529745703398,4714,0.336449932196132,4577,0.338786084381939,5265,0.367103611769628,4233,0.314347244913114,4524,0.313470066518847,4562,0.35757955792444,5166,0.393031040779063,3618,0.340197461212976,3541,0.354206261878564,3475,0.351685052120231,4030,0.358700489541611,3658,0.307731134853201,4120,0.31965241678951,4141,0.334032427200129,4751,0.344325264531091,4032,0.296710574729561,4640,0.325682599845582,4997,0.333266639989329,5668,0.341507501355667,5055,0.318686168200731,5957,0.343977364591754,5755,0.342355740630577,6588,0.385940246045694,5487,0.34730046205456,6080,0.367727107777912
    Resource Industries,,2172,0.160307033729427,2385,0.167438921651222,1971,0.155172413793103,2048,0.166274255094585,1842,0.168035030103996,1878,0.17026291931097,1449,0.153155057604904,1457,0.14088184103655,1377,0.150327510917031,1443,0.150720701900982,1670,0.170026471187131,1759,0.155237843085341,1870,0.163848243231403,2205,0.170983250620347,2208,0.171708530989968,2431,0.173506530583113,2538,0.187860843819393,2711,0.189025240552224,2647,0.196569137085994,2711,0.18784645232816,2179,0.17079479542248,2276,0.173158855751674,1979,0.186083685942642,1710,0.171051315394618,1704,0.172452180953345,2053,0.182732532265243,2097,0.176411205518634,2471,0.191713864535651,2291,0.184802774864887,2643,0.191549499927526,2759,0.203031864007653,2895,0.203200673826069,3013,0.200947045484861,3346,0.201602699283003,3359,0.211763964191149,3473,0.200542787850791,3259,0.193872694824509,3153,0.184710017574692,3096,0.195961769732262,3122,0.188823031329382
    All Other,,583,0.0430290058306886,531,0.0372788542544229,72,0.00566839867737364,55,0.00446537306162215,39,0.00355774493705528,37,0.00335448776065276,38,0.00401648874326181,41,0.00396441694063044,28,0.00305676855895197,32,0.0033423856277418,37,0.00376705355324781,33,0.00291236431029918,56,0.00490668535880137,52,0.00403225806451613,37,0.00287736215879928,41,0.00292627221468846,37,0.00273871206513694,39,0.00271928601310835,37,0.00274766077528591,34,0.00235587583148559,27,0.00211631917228406,29,0.00220632988435788,28,0.00263281617301363,28,0.00280084025207562,25,0.00253010828863475,32,0.00284824210057855,38,0.00319676958021368,34,0.00263790829389402,35,0.00282326369282891,38,0.00275402232207566,39,0.00286996835675914,38,0.00266722818839054,35,0.00233426704014939,33,0.00198831114056757,35,0.00220653133274492,34,0.00196327520498903,30,0.00178465199286139,32,0.00187463386057411,34,0.00215203493892018,29,0.00175396153380912
